command,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74,run75,run76,run77,run78,run79,run80,run81,run82,run83,run84,run85,run86,run87,run88,run89,run90,run91,run92,run93,run94,run95,run96,run97,run98,run99,run100,average_raw,average_trimmed
download_parallel_5,2.1610,1.5320,1.4196,1.3391,1.4385,1.4506,1.3891,1.3452,1.6441,1.3766,1.4148,1.4284,1.3874,1.3619,1.4638,1.4957,1.5613,1.5428,1.4157,1.5018,1.6996,1.9935,2.3832,1.7244,1.3616,1.5162,1.3954,1.4088,1.3330,1.8716,1.3773,1.4968,1.4438,1.5322,1.4518,1.4033,1.3661,1.3815,1.6733,1.4154,1.4229,1.3995,1.4702,1.3581,1.3739,1.5052,1.5054,1.3788,1.7780,1.4082,1.4425,1.3512,1.3843,1.3103,1.4240,1.4681,1.3811,1.4970,1.4330,1.9806,1.6066,1.3870,1.5330,1.6213,1.3763,1.3889,1.4262,1.4236,1.8394,1.3705,1.3619,1.3612,1.5004,1.3846,1.3522,1.5283,1.4387,2.4256,1.9736,1.9958,1.5079,1.5774,1.3784,1.4597,1.3734,1.3485,1.3582,1.4465,1.3350,1.3226,1.3590,1.6354,1.4505,1.4145,1.4330,1.3562,1.3337,1.4417,1.5334,1.4695,1.5000,1.4712
download_parallel_25,1.4371,1.6464,1.4167,1.8306,1.4343,1.5291,1.4042,1.4754,1.4786,1.4365,1.4425,1.3808,1.3800,1.7386,1.5455,1.4361,1.3657,2.2263,1.5341,1.3680,1.5974,1.5420,1.4427,1.4254,1.4185,1.4337,1.4261,1.4631,1.3875,1.4665,1.9883,1.6816,1.5084,1.5319,1.4753,1.4870,1.4942,1.4337,1.8091,1.5433,1.4640,1.4376,1.3906,1.4753,1.3810,1.4324,1.3702,1.4690,1.4902,1.4484,1.4774,1.3284,1.4039,1.7095,1.7650,1.8647,1.4058,1.4674,1.4060,1.4650,1.4087,1.4907,1.7877,1.4541,1.4789,1.4248,1.3521,1.6023,1.4582,1.4403,1.3951,1.8203,1.4662,1.4014,1.5088,1.4377,1.3599,1.4843,1.4916,1.3742,1.7627,1.5730,1.6174,1.3957,1.3611,1.4085,1.4074,1.3768,1.4531,1.4168,1.7430,1.4149,1.6089,1.3372,1.3796,1.3831,1.4116,1.3978,1.4057,1.4465,1.4965,1.4798
download_parallel_50,1.4253,1.8961,1.4861,1.5036,1.4441,1.5226,1.4474,1.4119,1.7996,1.4805,1.4195,1.5047,1.4247,1.5061,1.4733,1.4677,1.4741,1.6365,1.4391,1.8584,1.4480,1.5661,2.4442,1.4781,1.4220,1.4175,1.4145,1.4733,1.4638,1.4251,1.8934,1.4580,1.4457,1.4432,1.5319,1.4513,1.4131,1.3639,1.5023,1.5221,1.5542,1.4171,1.3695,1.4130,1.4141,1.5143,1.8562,1.3848,1.3993,1.4946,1.4145,1.4611,1.5416,1.4869,1.5354,1.4706,1.7811,1.4249,1.4351,1.5176,1.5674,1.3626,1.7802,1.9688,1.4809,1.4103,1.5460,1.5623,1.5247,1.5938,1.4964,1.4544,1.4514,1.4065,1.7004,1.4237,1.7102,1.9422,1.4649,1.4648,1.4204,1.3695,1.6143,2.0489,1.4302,1.4521,1.3512,1.4727,1.4155,1.5247,1.3709,1.8363,1.4088,1.4653,1.8366,1.4918,1.4979,1.3509,1.4463,1.4934,1.5269,1.5066
download_parallel_100,1.6932,1.5982,1.6615,1.6858,2.0176,1.4774,1.5345,1.5344,1.8463,1.5112,1.4650,1.3912,1.5614,1.4738,1.4475,1.5215,1.7682,1.6345,1.4850,1.4926,1.4245,1.5500,1.4636,1.5591,2.0377,1.4263,1.7436,1.5640,1.4879,1.4578,1.4630,1.4722,1.4796,1.8428,1.5468,1.5545,1.3701,1.5140,1.4409,1.5750,1.3765,1.4614,1.8953,1.4841,1.4853,1.5141,1.5177,1.5677,1.4758,1.5124,1.5523,1.6341,2.2624,1.7133,1.5446,1.7478,1.6769,1.6580,1.5738,1.7142,1.5783,2.0165,1.6210,1.6830,1.6614,1.7015,1.7326,1.6797,1.6516,1.5580,1.7592,1.6201,1.6292,1.7086,2.0686,1.7654,1.5639,1.5755,1.5347,1.6541,1.6229,1.6334,1.6013,1.9584,1.6819,1.5051,1.5451,1.6036,1.5552,1.5171,1.6024,1.7123,1.8178,1.7146,1.6301,1.5369,1.7256,1.7016,1.5569,1.5523,1.6168,1.6032
