command,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74,run75,run76,run77,run78,run79,run80,run81,run82,run83,run84,run85,run86,run87,run88,run89,run90,run91,run92,run93,run94,run95,run96,run97,run98,run99,run100,average_raw,average_trimmed
upload_parallel_5,5.9691,10.6096,5.8432,5.6283,5.8075,6.6310,6.6637,6.1930,5.6986,5.5913,11.0203,5.6966,7.0927,12.1219,5.5112,5.7728,5.5317,5.4852,5.5345,5.8178,5.4743,6.6122,5.7453,5.6004,6.5803,5.4628,5.7106,6.7086,5.8707,6.6813,6.4568,6.7959,6.5140,5.7135,6.7171,5.8628,11.4692,5.8625,6.5907,6.5447,5.6391,6.0153,6.8761,6.6067,6.5903,6.4966,6.5699,6.7175,6.2786,5.9156,6.6034,6.0895,7.0402,6.5921,6.2686,5.9652,6.6221,11.2060,7.2386,5.7919,6.8086,5.6792,7.0586,6.8990,6.6644,6.5555,12.1755,11.7659,5.9044,6.3040,6.7133,16.1044,7.1043,6.6493,6.5982,6.5102,7.1794,6.1894,6.8726,6.7372,6.7256,5.8677,5.7561,6.4431,6.6018,7.3093,6.5558,11.5951,5.5739,5.6470,5.9734,16.3697,11.7300,6.7628,5.8409,10.8483,6.3544,11.6108,6.0104,6.8437,7.0521,6.7690
upload_parallel_25,12.0543,6.4239,5.8507,5.8684,6.1063,6.6305,7.6046,6.7576,6.8355,6.8717,6.9515,5.9529,5.8923,5.7799,5.8238,6.0007,0.6123,1.0173,0.4038,84.0164,6.1904,11.5133,5.6113,6.5883,11.7453,5.8089,7.0806,6.6954,6.1815,5.5182,6.2212,10.7525,5.8076,5.7381,6.3423,5.7506,5.9139,6.5911,6.5629,6.5922,6.5889,6.5604,11.7466,6.3189,6.1234,7.1294,6.4796,6.2445,5.8948,5.5809,5.7442,5.7250,11.1743,11.1326,5.7115,6.8204,11.7939,6.7584,6.8800,11.6040,5.6020,6.1539,7.2083,6.8231,6.7334,6.7865,6.5407,6.3655,12.1938,5.6984,5.6376,5.9053,11.8025,6.0287,7.2718,6.3439,11.6142,6.6628,6.5275,6.5134,6.6853,6.7183,6.6454,6.7151,6.8211,6.8129,7.7165,5.8361,11.0797,5.6503,5.4702,5.9654,6.6035,6.7056,6.5920,6.8559,7.2303,6.7601,6.7672,6.6820,7.6540,6.8946
upload_parallel_50,6.9115,6.8236,6.5172,5.6859,10.8387,5.8641,5.8606,6.3686,7.0361,11.7854,6.2352,6.8379,6.8794,6.5089,7.1156,11.3676,11.0574,6.7551,11.7447,5.5253,5.4148,5.7601,7.0016,6.6054,6.7623,5.9128,5.8271,6.6172,6.7408,6.4372,5.6365,6.0018,7.6620,6.4784,6.1703,6.1012,6.1488,6.6023,6.6824,6.5501,6.4865,11.6642,5.9557,5.6723,6.1946,5.7960,6.0069,11.4985,6.0193,6.1514,6.1331,6.0330,6.7751,8.0941,6.7533,6.6409,10.9040,5.4629,10.8671,5.6484,6.8071,6.6523,5.4661,6.1684,5.9511,6.5777,6.5865,6.5836,5.6818,6.0872,5.8983,11.6630,5.5661,5.8934,6.5980,11.7282,6.5900,6.6816,6.6949,7.2997,6.4095,5.7509,5.6449,5.6533,5.4498,5.8072,6.7542,6.8925,5.9192,6.1005,6.4854,5.6031,6.7774,6.6715,6.6173,6.7080,11.1519,5.8225,5.9340,6.0060,6.9092,6.7224
upload_parallel_100,6.9843,6.9372,6.7682,6.6045,5.4862,5.4755,5.8009,6.8645,6.3965,11.5933,5.9560,7.0822,6.6483,6.6520,5.6784,5.6698,6.2997,6.4924,6.8466,6.1959,6.1127,6.8031,6.1485,6.1140,6.6586,11.8518,7.0567,5.6468,5.8544,6.8325,5.8923,5.9367,6.7473,7.0256,6.6761,6.7896,11.5159,5.4039,5.4226,5.8565,5.8868,5.6453,10.6101,6.8022,11.0962,10.4917,6.0036,6.5288,5.5965,5.8669,6.7980,6.0321,11.8233,5.6284,6.9007,6.4827,5.8592,6.3827,5.8547,6.5890,6.5978,6.6691,7.2648,5.8339,5.8342,10.8493,6.5455,6.6248,6.9336,5.9939,5.4395,6.2880,6.1789,6.7659,6.8050,6.9976,5.7437,5.5778,5.5272,5.4679,5.9706,6.1231,7.1927,5.4269,6.2160,5.8729,6.5438,6.7903,11.4944,5.4117,5.5052,11.1785,6.8453,6.4630,5.7291,5.6511,5.7568,5.6617,5.5362,6.7739,6.7374,6.5373
